vendor_id,vendor_name,industry,country,region_risk,annual_spend_usd,contract_value_usd,relationship_years,data_access_level,business_criticality,financial_health_score,security_certification,compliance_incidents_3yr,sla_breach_count_1yr,on_time_delivery_rate,subcontractor_use,insurance_adequate,sanctions_screening,last_assessment_days_ago,risk_tier
VEN20000,Vantage Holdings,IT Services,Poland,Medium,51700.0,101000.0,3.6,Limited,High,76.5,ISO27001,1,0,0.99,Yes,Yes,Clear,177,High
VEN20001,Lighthouse Holdings,Financial Services,Russia,High,115400.0,232800.0,0.4,Limited,Medium,60.5,ISO27001,1,0,0.943,No,No,Clear,420,High
VEN20002,Northgate Systems,Facilities & Maintenance,India,Medium,76900.0,225500.0,2.9,Full,High,97.2,SOC2,0,0,0.874,No,Yes,Clear,42,Low
VEN20003,Horizon Systems,IT Services,Brazil,Medium,9500.0,16700.0,1.4,Full,Low,76.9,SOC2,0,3,0.88,No,Yes,Clear,71,Medium
VEN20004,Cascade Logistics,Cloud/SaaS,United States,Low,171800.0,354400.0,1.0,Limited,Medium,69.0,Both,1,0,0.921,No,Yes,Clear,483,Low
VEN20005,Vantage Partners,Consulting,China,High,42200.0,77200.0,0.2,Full,Low,56.9,SOC2,0,0,0.833,No,Yes,Clear,242,Medium
VEN20006,Bridgeline Group,IT Services,Japan,Low,13500.0,25100.0,11.9,No Access,Low,78.5,Both,0,1,1.0,No,No,Clear,209,Low
VEN20007,Pinnacle Logistics,IT Services,China,High,115200.0,454200.0,15.3,Limited,High,65.7,Not Certified,0,0,0.997,No,Yes,Clear,7,High
VEN20008,Trailhead Logistics,Consulting,United Kingdom,Low,297500.0,148800.0,2.0,Limited,Medium,66.2,Not Certified,0,0,0.876,No,Yes,Clear,101,Medium
VEN20009,Trailhead Industries,Facilities & Maintenance,Mexico,Medium,62400.0,170500.0,5.5,No Access,Medium,75.4,ISO27001,0,0,0.933,No,Yes,Clear,1400,Low
VEN20010,Waypoint Industries,Manufacturing,South Africa,Medium,51600.0,82700.0,0.2,No Access,Medium,75.6,ISO27001,0,1,1.0,No,Yes,Clear,117,Low
VEN20011,Cascade Technologies,Financial Services,Poland,Medium,34100.0,78900.0,11.3,No Access,Medium,61.0,SOC2,2,0,0.964,No,Yes,Clear,199,Low
VEN20012,Meridian Industries,Marketing & Media,Mexico,Medium,43600.0,43400.0,0.8,No Access,Medium,90.0,SOC2,2,0,0.88,No,Yes,Clear,189,Medium
VEN20013,Summit Systems,Logistics,Russia,High,257000.0,620000.0,0.2,Full,Medium,58.4,Both,0,3,0.813,No,Yes,Clear,225,Medium
VEN20014,Brightline Holdings,IT Services,United States,Low,78500.0,124800.0,5.5,Full,Medium,56.8,ISO27001,1,0,0.843,No,Yes,Clear,415,Medium
VEN20015,Waypoint Technologies,Staffing,United States,Low,116000.0,314000.0,1.7,No Access,Low,76.7,SOC2,0,1,1.0,No,Yes,Clear,202,Low
VEN20016,Waypoint Group,Marketing & Media,India,Medium,138400.0,465200.0,1.7,No Access,Low,74.2,Not Certified,0,1,0.959,No,Yes,Clear,174,Low
VEN20017,Anchor Technologies,Financial Services,Nigeria,High,8000.0,9800.0,1.0,Limited,Medium,73.4,Not Certified,0,0,0.863,No,Yes,Clear,340,High
VEN20018,Anchor Dynamics,Payment Processing,Poland,Medium,86200.0,81000.0,5.3,Full,Low,66.6,SOC2,0,0,0.982,Yes,Yes,Clear,59,Low
VEN20019,Waypoint Consulting,Facilities & Maintenance,United Kingdom,Low,137300.0,437300.0,1.7,Limited,Low,72.9,SOC2,1,0,0.919,Yes,Yes,Clear,51,Low
VEN20020,Lighthouse Partners,Consulting,United States,Low,92100.0,353900.0,0.2,Limited,High,64.5,ISO27001,0,0,0.901,No,Yes,Clear,380,Low
VEN20021,Horizon Enterprises,Cloud/SaaS,Japan,Low,12900.0,29100.0,4.7,No Access,Low,49.2,Both,0,1,0.909,Yes,Yes,Clear,22,Low
VEN20022,Sterling Consulting,Facilities & Maintenance,Australia,Low,28800.0,16200.0,13.7,Full,Low,82.6,Both,0,0,0.913,No,Yes,Clear,17,Low
VEN20023,Lighthouse Co.,Financial Services,Australia,Low,154900.0,151200.0,0.5,Full,High,58.1,Not Certified,1,1,1.0,Yes,Yes,Clear,6,High
VEN20024,Redwood Partners,Logistics,Mexico,Medium,114600.0,347300.0,1.2,Limited,Low,69.1,SOC2,2,0,0.884,Yes,No,Clear,302,High
VEN20025,Vantage Networks,Facilities & Maintenance,United Kingdom,Low,118600.0,436900.0,9.4,No Access,Low,82.5,SOC2,1,2,0.916,No,Yes,Clear,163,Low
VEN20026,Vantage Consulting,Cloud/SaaS,China,High,19100.0,41000.0,0.7,No Access,High,72.6,Both,0,3,1.0,No,Yes,Clear,45,Low
