vendor_id,vendor_name,industry,country,region_risk,annual_spend_usd,contract_value_usd,relationship_years,data_access_level,business_criticality,financial_health_score,security_certification,compliance_incidents_3yr,sla_breach_count_1yr,on_time_delivery_rate,subcontractor_use,insurance_adequate,sanctions_screening,last_assessment_days_ago,risk_tier,predicted_tier,risk_score_0_100,p_low,p_medium,p_high
VEN20000,Vantage Holdings,IT Services,Poland,Medium,51700.0,101000.0,3.6,Limited,High,76.5,ISO27001,1,0,0.99,Yes,Yes,Clear,177,High,High,75.0,0.133,0.2337,0.6333
VEN20001,Lighthouse Holdings,Financial Services,Russia,High,115400.0,232800.0,0.4,Limited,Medium,60.5,ISO27001,1,0,0.943,No,No,Clear,420,High,High,86.2,0.0839,0.1085,0.8076
VEN20002,Northgate Systems,Facilities & Maintenance,India,Medium,76900.0,225500.0,2.9,Full,High,97.2,SOC2,0,0,0.874,No,Yes,Clear,42,Low,Low,44.5,0.3807,0.3478,0.2715
VEN20003,Horizon Systems,IT Services,Brazil,Medium,9500.0,16700.0,1.4,Full,Low,76.9,SOC2,0,3,0.88,No,Yes,Clear,71,Medium,Medium,40.5,0.2718,0.647,0.0812
VEN20004,Cascade Logistics,Cloud/SaaS,United States,Low,171800.0,354400.0,1.0,Limited,Medium,69.0,Both,1,0,0.921,No,Yes,Clear,483,Low,Low,24.9,0.6092,0.2845,0.1063
VEN20005,Vantage Partners,Consulting,China,High,42200.0,77200.0,0.2,Full,Low,56.9,SOC2,0,0,0.833,No,Yes,Clear,242,Medium,Medium,41.8,0.3217,0.521,0.1573
VEN20006,Bridgeline Group,IT Services,Japan,Low,13500.0,25100.0,11.9,No Access,Low,78.5,Both,0,1,1.0,No,No,Clear,209,Low,Low,7.8,0.8745,0.0947,0.0308
VEN20007,Pinnacle Logistics,IT Services,China,High,115200.0,454200.0,15.3,Limited,High,65.7,Not Certified,0,0,0.997,No,Yes,Clear,7,High,High,80.4,0.1083,0.176,0.7158
VEN20008,Trailhead Logistics,Consulting,United Kingdom,Low,297500.0,148800.0,2.0,Limited,Medium,66.2,Not Certified,0,0,0.876,No,Yes,Clear,101,Medium,Medium,38.5,0.3196,0.5903,0.0901
VEN20009,Trailhead Industries,Facilities & Maintenance,Mexico,Medium,62400.0,170500.0,5.5,No Access,Medium,75.4,ISO27001,0,0,0.933,No,Yes,Clear,1400,Low,Low,23.7,0.6363,0.2535,0.1103
VEN20010,Waypoint Industries,Manufacturing,South Africa,Medium,51600.0,82700.0,0.2,No Access,Medium,75.6,ISO27001,0,1,1.0,No,Yes,Clear,117,Low,Low,17.5,0.7497,0.1515,0.0988
VEN20011,Cascade Technologies,Financial Services,Poland,Medium,34100.0,78900.0,11.3,No Access,Medium,61.0,SOC2,2,0,0.964,No,Yes,Clear,199,Low,Low,25.6,0.6128,0.2633,0.1239
VEN20012,Meridian Industries,Marketing & Media,Mexico,Medium,43600.0,43400.0,0.8,No Access,Medium,90.0,SOC2,2,0,0.88,No,Yes,Clear,189,Medium,Medium,36.6,0.3417,0.5837,0.0746
VEN20013,Summit Systems,Logistics,Russia,High,257000.0,620000.0,0.2,Full,Medium,58.4,Both,0,3,0.813,No,Yes,Clear,225,Medium,Medium,52.3,0.1448,0.6651,0.1901
VEN20014,Brightline Holdings,IT Services,United States,Low,78500.0,124800.0,5.5,Full,Medium,56.8,ISO27001,1,0,0.843,No,Yes,Clear,415,Medium,Medium,40.9,0.314,0.5537,0.1323
VEN20015,Waypoint Technologies,Staffing,United States,Low,116000.0,314000.0,1.7,No Access,Low,76.7,SOC2,0,1,1.0,No,Yes,Clear,202,Low,Low,4.2,0.9228,0.07,0.0072
VEN20016,Waypoint Group,Marketing & Media,India,Medium,138400.0,465200.0,1.7,No Access,Low,74.2,Not Certified,0,1,0.959,No,Yes,Clear,174,Low,Low,15.2,0.743,0.2098,0.0472
VEN20017,Anchor Technologies,Financial Services,Nigeria,High,8000.0,9800.0,1.0,Limited,Medium,73.4,Not Certified,0,0,0.863,No,Yes,Clear,340,High,High,80.0,0.1199,0.1603,0.7198
VEN20018,Anchor Dynamics,Payment Processing,Poland,Medium,86200.0,81000.0,5.3,Full,Low,66.6,SOC2,0,0,0.982,Yes,Yes,Clear,59,Low,Low,27.9,0.5062,0.4289,0.065
VEN20019,Waypoint Consulting,Facilities & Maintenance,United Kingdom,Low,137300.0,437300.0,1.7,Limited,Low,72.9,SOC2,1,0,0.919,Yes,Yes,Clear,51,Low,Low,19.0,0.664,0.2912,0.0448
VEN20020,Lighthouse Partners,Consulting,United States,Low,92100.0,353900.0,0.2,Limited,High,64.5,ISO27001,0,0,0.901,No,Yes,Clear,380,Low,Low,39.9,0.4176,0.3663,0.2161
VEN20021,Horizon Enterprises,Cloud/SaaS,Japan,Low,12900.0,29100.0,4.7,No Access,Low,49.2,Both,0,1,0.909,Yes,Yes,Clear,22,Low,Low,11.9,0.786,0.1895,0.0245
VEN20022,Sterling Consulting,Facilities & Maintenance,Australia,Low,28800.0,16200.0,13.7,Full,Low,82.6,Both,0,0,0.913,No,Yes,Clear,17,Low,Low,20.9,0.652,0.2786,0.0694
VEN20023,Lighthouse Co.,Financial Services,Australia,Low,154900.0,151200.0,0.5,Full,High,58.1,Not Certified,1,1,1.0,Yes,Yes,Clear,6,High,High,85.3,0.0931,0.107,0.7999
VEN20024,Redwood Partners,Logistics,Mexico,Medium,114600.0,347300.0,1.2,Limited,Low,69.1,SOC2,2,0,0.884,Yes,No,Clear,302,High,High,71.2,0.1582,0.2606,0.5813
VEN20025,Vantage Networks,Facilities & Maintenance,United Kingdom,Low,118600.0,436900.0,9.4,No Access,Low,82.5,SOC2,1,2,0.916,No,Yes,Clear,163,Low,Low,17.1,0.6893,0.2785,0.0322
VEN20026,Vantage Consulting,Cloud/SaaS,China,High,19100.0,41000.0,0.7,No Access,High,72.6,Both,0,3,1.0,No,Yes,Clear,45,Low,Medium,49.8,0.2974,0.4089,0.2937
VEN20027,Clearway Solutions,Staffing,United Kingdom,Low,97300.0,111900.0,2.9,Limited,Low,100.0,SOC2,1,3,1.0,No,Yes,Clear,951,Medium,Medium,31.4,0.401,0.5698,0.0293
VEN20028,Waypoint Holdings,Payment Processing,United States,Low,374200.0,1194100.0,1.1,Limited,High,52.7,Not Certified,0,1,0.882,No,Yes,Clear,29,Medium,Medium,52.3,0.1843,0.5857,0.2301
VEN20029,Outpost Labs,IT Services,Germany,Low,74500.0,85100.0,0.4,No Access,Medium,61.8,SOC2,0,0,1.0,Yes,No,Clear,12,Low,Low,30.2,0.5635,0.2681,0.1684
VEN20030,Meridian Dynamics,Financial Services,China,High,334400.0,566500.0,2.7,Limited,Low,73.5,ISO27001,0,0,1.0,Yes,Yes,Clear,10,Medium,Medium,42.3,0.2177,0.7187,0.0635
VEN20031,Vantage Group,Logistics,United States,Low,192000.0,333400.0,1.7,Full,Low,91.2,SOC2,0,0,0.852,Yes,Yes,Clear,14,Low,Low,20.6,0.6337,0.321,0.0452
VEN20032,Sterling Logistics,IT Services,United Kingdom,Low,183100.0,316500.0,0.4,No Access,High,68.8,Not Certified,0,0,1.0,No,Yes,Clear,35,Low,Low,20.4,0.6642,0.263,0.0728
VEN20033,Outpost Partners,Payment Processing,China,High,32800.0,88300.0,8.2,No Access,Low,52.2,ISO27001,0,1,0.852,No,No,Clear,119,Medium,Medium,49.9,0.2743,0.4525,0.2732
VEN20034,Fulcrum Networks,Manufacturing,Germany,Low,33700.0,49200.0,3.8,No Access,Low,88.2,Both,0,1,0.98,No,Yes,Clear,51,Low,Low,5.6,0.9002,0.0881,0.0118
VEN20035,Vantage Partners 2,Cloud/SaaS,South Africa,Medium,32800.0,77800.0,1.0,Limited,High,59.3,ISO27001,0,1,0.872,Yes,Yes,Clear,63,High,High,82.0,0.0802,0.1991,0.7208
VEN20036,Horizon Dynamics,Marketing & Media,United States,Low,265000.0,831900.0,0.9,Limited,Low,69.4,Not Certified,2,1,0.834,No,Yes,Clear,147,Medium,Medium,37.1,0.3148,0.6278,0.0574
